system_date,order_type,food_name,qty,gross_price,discount_rate,total_discount_price,total_price,discount_ratio_effective
2020-01-10,delivery,Sweet Pasta 12,5,6624.6,0.2603691115387364,3083.27,3541.33,
2020-01-10,takeaway,Sweet Roll 9,4,2077.09,0.24833047615883916,711.3,1365.79,
2020-01-11,delivery,Item50,1,3963.95,0.022973960682114013,1461.42,2502.53,
2020-01-12,table,Crispy Pasta 12,1,1770.43,0.27448230081892105,17.7,1752.73,
2020-01-12,table,Deluxe Pizza,4,1334.02,0.22619506321030244,324.49,1009.53,
2020-01-13,takeaway,Crispy Pasta 12,2,251.19,0.0,95.87,155.32,
2020-01-13,delivery,Herb Drink 9,1,1199.68,0.013985619643044173,400.4,799.28,
2020-01-13,delivery,Deluxe Dessert 12,2,1612.51,0.21522455235983415,365.65,1246.86,
2020-01-13,delivery,Herb Burger,1,2093.6,0.0015925122632125194,626.86,1466.74,
2020-01-13,takeaway,Veggie Drink 12,8,9818.3,0.24046375679781934,1449.23,8369.07,
2020-01-13,delivery,Spicy Burger,1,5446.96,0.5,3256.11,2190.85,
2020-01-13,takeaway,Deluxe Pasta 12,1,1531.84,0.0,364.32,1167.52,
2020-01-13,takeaway,Spicy Sandwich 19,1,1671.78,0.0,437.89,1233.89,
2020-01-14,table,Veggie Roll,1,121.22,0.25294238915388756,24.75,96.47,
2020-01-14,table,Veggie Dessert 9,3,120.0,0.0,40.14,79.86,
2020-01-14,delivery,Sweet Burger 12,2,1604.88,0.23346394480325453,401.12,1203.76,
2020-01-15,delivery,Item50,5,1675.76,0.1780775193665565,240.62,1435.14,
2020-01-16,table,Veggie Burger,5,1356.72,0.25304987171983734,281.48,1075.24,
2020-01-16,delivery,Sweet Pasta 19,2,2269.95,0.0,499.71,1770.24,
2020-01-16,delivery,Herb Burger 12,2,436.37,0.0,136.83,299.54,
2020-01-16,takeaway,Veggie Dessert 9,4,979.47,0.1878921404109218,194.6,784.87,
2020-01-17,delivery,Crispy Pasta 12,4,321.58,0.012383024786538924,79.17,242.41,
2020-01-17,table,Veggie Drink 12,1,1628.7,0.0,345.3,1283.4,
2020-01-17,delivery,Item50,2,5049.5,0.26407004822422325,1417.91,3631.59,
2020-01-17,takeaway,Herb Burger,2,2612.43,0.0,222.04,2390.39,
2020-01-18,delivery,Deluxe Pizza 19,5,1878.34,0.01734727937296868,355.36,1522.98,
2020-01-19,takeaway,Herb Sandwich 9,3,1110.15,0.0,110.71,999.44,
2020-01-19,delivery,Herb Burger,2,1247.34,0.2722295518168948,12.47,1234.87,
2020-01-19,table,Sweet Chicken 19,3,2570.75,0.0,474.27,2096.48,
2020-01-20,delivery,Spicy Burger 12,2,1128.42,0.29498518598787354,410.57,717.85,
2020-01-20,takeaway,Sweet Pasta 19,2,1944.73,0.2314383860785634,868.44,1076.29,
2020-01-20,delivery,Herb Dessert 19,3,574.57,0.2696251411885605,233.94,340.63,
2020-01-20,delivery,Veggie Roll,4,2214.52,0.0006228958615578777,996.6,1217.92,
2020-01-20,takeaway,Herb Sandwich 9,4,1566.14,0.29665400013740556,638.14,928.0,
2020-01-20,takeaway,Deluxe Pizza,1,2385.9,0.2026748779120508,380.12,2005.78,
2020-01-21,takeaway,Spicy Sandwich 19,2,355.2,0.14476375586063786,75.89,279.31,
2020-01-21,takeaway,Zesty Burger 22,5,1814.36,0.2708469486139621,725.82,1088.54,
2020-01-21,takeaway,Spicy Burger,4,2703.33,0.0,824.27,1879.06,
2020-01-22,table,Veggie Burger,3,133.52,0.24892834094602373,53.54,79.98,
2020-01-22,table,Crispy Chicken 22,2,2176.79,0.0006766664122647666,739.33,1437.46,
2020-01-22,delivery,Veggie Drink 12,4,3281.48,0.25558402397784397,589.44,2692.04,
2020-01-22,table,Crispy Pasta 12,1,3953.4,0.0,1260.37,2693.03,
2020-01-23,takeaway,Herb Dessert 19,3,120.0,0.2412300723219611,43.17,76.83,
2020-01-23,takeaway,Herb Burger,2,1861.67,0.25729618015026157,324.24,1537.43,
2020-01-24,delivery,Sweet Chicken 12,2,885.28,0.26685812359471694,365.16,520.12,
2020-01-25,delivery,Spicy Drink 22,2,1040.76,0.0,173.52,867.24,
2020-01-26,table,Sweet Burger 12,1,321.15,0.2715430510607111,87.16,233.99,
2020-01-26,delivery,Crispy Drink,1,506.03,0.2333224365777826,101.54,404.49,
2020-01-27,delivery,Spicy Sandwich 19,5,2375.88,0.0,541.46,1834.42,
2020-01-27,table,Deluxe Pizza,3,640.53,0.21587381340227418,164.41,476.12,
2020-01-27,delivery,Veggie Dessert 9,2,264.24,0.012359206588579669,50.07,214.17,
2020-01-27,delivery,Spicy Chicken 19,2,1263.26,0.023621222088982166,451.33,811.93,
2020-01-28,delivery,Zesty Pasta 9,1,357.37,0.01303751751087112,121.73,235.64,
2020-01-28,table,Spicy Burger,2,345.52,0.21502289861044283,125.61,219.91,
2020-01-29,delivery,Deluxe Dessert 19,2,1243.61,0.23098966356560213,601.49,642.12,
2020-01-29,delivery,Zesty Burger 22,1,1196.04,0.020701385480667488,331.49,864.55,
2020-01-29,delivery,Herb Burger 12,5,1750.43,0.24870638916307267,348.51,1401.92,
2020-01-29,delivery,Herb Burger,1,1946.13,0.0,598.36,1347.77,
2020-01-29,takeaway,Herb Drink 9,1,1060.54,0.0,102.42,958.12,
2020-01-30,takeaway,Crispy Burger,1,767.85,0.026390892154258105,327.41,440.44,
2020-01-30,takeaway,Item50,4,2511.78,0.2421754153702616,777.59,1734.19,
2020-01-31,delivery,Herb Burger,3,499.07,0.014292935167843256,154.04,345.03,
