ds,y_qty,y_revenue,temp_avg,rain_mm,is_rainy,is_weekend,is_holiday,is_pre_holiday,is_post_holiday,day_of_week,holiday_label,month,year,day,week_of_year,quarter
2020-01-10,81,55404.62,28.540625,0.0,0,0,1,0,0,4,Duruthu Full Moon Poya Day,1,2020,10,2,1
2020-01-11,101,60045.700000000004,28.36388888888889,0.0,0,1,0,0,1,5,,1,2020,11,2,1
2020-01-12,5,2762.26,26.35,0.0,0,1,0,0,0,6,,1,2020,12,2,1
2020-01-13,17,16629.53,28.25,0.0,0,0,0,0,0,0,,1,2020,13,3,1
2020-01-14,98,68325.09,27.3,0.0,0,0,0,1,0,1,,1,2020,14,3,1
2020-01-15,92,53825.96,27.758064516129032,0.0,0,0,1,0,0,2,Tamil Thai Pongal Day,1,2020,15,3,1
2020-01-16,99,55771.189999999995,27.647222222222222,0.0,0,0,0,0,1,3,,1,2020,16,3,1
2020-01-17,9,7547.79,29.425,0.0,0,0,0,0,0,4,,1,2020,17,3,1
2020-01-18,5,1522.98,30.2,0.2,1,1,0,0,0,5,,1,2020,18,3,1
2020-01-19,8,4330.79,26.833333333333332,0.16666666666666666,1,1,0,0,0,6,,1,2020,19,3,1
2020-01-20,16,6286.47,30.116666666666664,0.0,0,0,0,0,0,0,,1,2020,20,4,1
2020-01-21,11,3246.91,29.46666666666667,0.03333333333333333,1,0,0,0,0,1,,1,2020,21,4,1
2020-01-22,10,6902.51,29.075,0.0,0,0,0,0,0,2,,1,2020,22,4,1
2020-01-23,5,1614.26,29.05,0.45,1,0,0,0,0,3,,1,2020,23,4,1
2020-01-24,2,520.1199999999999,27.5,0.0,0,0,0,0,0,4,,1,2020,24,4,1
2020-01-25,2,867.24,28.2,0.0,0,1,0,0,0,5,,1,2020,25,4,1
2020-01-26,2,638.4799999999999,32.45,0.0,0,1,0,0,0,6,,1,2020,26,4,1
2020-01-27,12,3336.6400000000003,27.8,0.0,0,0,0,0,0,0,,1,2020,27,5,1
2020-01-28,3,455.54999999999995,26.700000000000003,0.0,0,0,0,0,0,1,,1,2020,28,5,1
2020-01-29,10,5214.48,29.119999999999997,0.0,0,0,0,0,0,2,,1,2020,29,5,1
2020-01-30,5,2174.63,30.299999999999997,0.0,0,0,0,0,0,3,,1,2020,30,5,1
2020-01-31,5,688.95,31.8,0.0,0,0,0,0,0,4,,1,2020,31,5,1
2020-02-01,14,9860.85,29.575,0.0,0,1,0,0,0,5,,2,2020,1,5,1
2020-02-02,1,1520.91,26.6,0.0,0,1,0,0,0,6,,2,2020,2,5,1
2020-02-03,85,43643.049999999996,29.244117647058825,0.0,0,0,0,1,0,0,,2,2020,3,6,1
2020-02-04,112,62056.66,29.82894736842105,0.0,0,0,1,0,0,1,Independence Day,2,2020,4,6,1
2020-02-05,87,38343.86,29.569696969696967,0.030303030303030304,1,0,0,0,1,2,,2,2020,5,6,1
2020-02-06,4,601.69,28.8,0.0,0,0,0,0,0,3,,2,2020,6,6,1
2020-02-07,94,56554.6,28.630232558139532,0.0,0,0,0,1,0,4,,2,2020,7,6,1
2020-02-08,58,40020.24,28.57241379310345,0.0,0,1,1,0,0,5,Nawam Full Moon Poya Day,2,2020,8,6,1
2020-02-09,112,81727.48,29.795454545454547,0.0,0,1,0,0,1,6,,2,2020,9,6,1
2020-02-10,10,2205.38,31.5,0.0,0,0,0,0,0,0,,2,2020,10,7,1
2020-02-11,13,8107.54,32.3,0.0,0,0,0,0,0,1,,2,2020,11,7,1
2020-02-12,16,11844.89,28.928571428571427,0.0,0,0,0,0,0,2,,2,2020,12,7,1
2020-02-13,4,1616.1799999999998,29.5,0.0,0,0,0,0,0,3,,2,2020,13,7,1
