holiday,ds,lower_window,upper_window
Duruthu Full Moon Poya Day,2020-01-10,0,0
Tamil Thai Pongal Day,2020-01-15,0,0
Independence Day,2020-02-04,0,0
Nawam Full Moon Poya Day,2020-02-08,0,0
Maha Sivarathri Day,2020-02-21,0,0
Medin Full Moon Poya Day,2020-03-09,0,0
Special Public Holiday,2020-03-16,0,0
Special Public Holiday,2020-03-17,0,0
Special Public Holiday,2020-03-18,0,0
Special Public Holiday,2020-03-19,0,0
Bak Full Moon Poya Day,2020-04-07,0,0
Good Friday,2020-04-10,0,0
Day Before Sinhala and Tamil New Year,2020-04-12,0,0
Sinhala and Tamil New Year,2020-04-13,0,0
International Workers' Day,2020-05-01,0,0
Vesak Full Moon Poya Day,2020-05-07,0,0
Day Following Vesak Full Moon Poya Day,2020-05-08,0,0
Eid al-Fitr,2020-05-25,0,0
Poson Full Moon Poya Day,2020-06-05,0,0
Esala Full Moon Poya Day,2020-07-04,0,0
Eid al-Adha,2020-08-01,0,0
Nikini Full Moon Poya Day,2020-08-03,0,0
Binara Full Moon Poya Day,2020-09-01,0,0
Adhi Vap Full Moon Poya Day,2020-10-01,0,0
Prophet's Birthday; Vap Full Moon Poya Day,2020-10-30,0,0
Deepavali Festival Day,2020-11-14,0,0
Il Full Moon Poya Day,2020-11-29,0,0
Christmas Day,2020-12-25,0,0
Unduvap Full Moon Poya Day,2020-12-29,0,0
Tamil Thai Pongal Day,2021-01-14,0,0
Duruthu Full Moon Poya Day,2021-01-28,0,0
Independence Day,2021-02-04,0,0
Nawam Full Moon Poya Day,2021-02-26,0,0
Maha Sivarathri Day,2021-03-11,0,0
Medin Full Moon Poya Day,2021-03-28,0,0
Good Friday,2021-04-02,0,0
Day Before Sinhala and Tamil New Year,2021-04-13,0,0
Sinhala and Tamil New Year,2021-04-14,0,0
Bak Full Moon Poya Day,2021-04-26,0,0
International Workers' Day,2021-05-01,0,0
Eid al-Fitr,2021-05-14,0,0
Vesak Full Moon Poya Day,2021-05-26,0,0
Day Following Vesak Full Moon Poya Day,2021-05-27,0,0
Poson Full Moon Poya Day,2021-06-24,0,0
Eid al-Adha,2021-07-21,0,0
Esala Full Moon Poya Day,2021-07-23,0,0
Nikini Full Moon Poya Day,2021-08-22,0,0
Binara Full Moon Poya Day,2021-09-20,0,0
Prophet's Birthday,2021-10-19,0,0
Vap Full Moon Poya Day,2021-10-20,0,0
Deepavali Festival Day,2021-11-04,0,0
Il Full Moon Poya Day,2021-11-18,0,0
Unduvap Full Moon Poya Day,2021-12-18,0,0
Christmas Day,2021-12-25,0,0
Tamil Thai Pongal Day,2022-01-14,0,0
Duruthu Full Moon Poya Day,2022-01-17,0,0
Independence Day,2022-02-04,0,0
Nawam Full Moon Poya Day,2022-02-16,0,0
Maha Sivarathri Day,2022-03-01,0,0
Medin Full Moon Poya Day,2022-03-17,0,0
Special Public Holiday,2022-04-11,0,0
Special Public Holiday,2022-04-12,0,0
Day Before Sinhala and Tamil New Year,2022-04-13,0,0
Sinhala and Tamil New Year,2022-04-14,0,0
Good Friday,2022-04-15,0,0
Bak Full Moon Poya Day,2022-04-16,0,0
International Workers' Day,2022-05-01,0,0
Special Public Holiday,2022-05-02,0,0
Eid al-Fitr,2022-05-03,0,0
Vesak Full Moon Poya Day,2022-05-15,0,0
Day Following Vesak Full Moon Poya Day,2022-05-16,0,0
Poson Full Moon Poya Day,2022-06-14,0,0
Eid al-Adha,2022-07-10,0,0
Esala Full Moon Poya Day,2022-07-13,0,0
Nikini Full Moon Poya Day,2022-08-11,0,0
Binara Full Moon Poya Day,2022-09-10,0,0
Prophet's Birthday; Vap Full Moon Poya Day,2022-10-09,0,0
Deepavali Festival Day,2022-10-24,0,0
Il Full Moon Poya Day,2022-11-07,0,0
Unduvap Full Moon Poya Day,2022-12-07,0,0
Christmas Day,2022-12-25,0,0
Duruthu Full Moon Poya Day,2023-01-06,0,0
Tamil Thai Pongal Day,2023-01-15,0,0
Independence Day,2023-02-04,0,0
Nawam Full Moon Poya Day,2023-02-05,0,0
Maha Sivarathri Day,2023-02-18,0,0
Medin Full Moon Poya Day,2023-03-06,0,0
Bak Full Moon Poya Day,2023-04-05,0,0
