system_date,order_type,food_name,qty,gross_price,discount_rate,total_discount_price,total_price,discount_ratio_effective,day_of_week,is_weekend,month,year,is_month_start,is_month_end,week_of_month,is_holiday,holiday_name,is_pre_holiday,is_post_holiday,order_time,order_datetime,temp_avg,rain_mm,is_rainy
1/10/2020,delivery,Sweet Pasta 12,5,6624.6,0.260369112,3083.27,3541.33,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,19:57:49,2020-01-10 19:57:49+05:30,27.6,0,0
1/10/2020,takeaway,Spicy Burger,2,1799.79,0.275847061,663.9,1135.89,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,16:57:33,2020-01-10 16:57:33+05:30,28.9,0,0
1/10/2020,delivery,Deluxe Pizza 19,5,1159.29,0.248520654,130.85,1028.44,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,12:25:37,2020-01-10 12:25:37+05:30,30.4,0,0
1/10/2020,delivery,Crispy Pasta 12,3,1760.22,0.028764913,451.44,1308.78,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,9:26:25,2020-01-10 09:26:25+05:30,26.9,0,0
1/10/2020,delivery,Crispy Dessert 9,3,1063.2,0.007932011,247.19,816.01,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,19:26:36,2020-01-10 19:26:36+05:30,27.6,0,0
1/10/2020,takeaway,Item50,5,2233.89,0,628.35,1605.54,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,18:32:49,2020-01-10 18:32:49+05:30,27.3,0,0
1/10/2020,delivery,Deluxe Dessert 22,2,1636.8,0.020061751,713.35,923.45,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,19:05:36,2020-01-10 19:05:36+05:30,27.6,0,0
1/10/2020,takeaway,Spicy Sandwich 19,1,2503.25,0.5,741.23,1762.02,0.296107061,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,10:17:24,2020-01-10 10:17:24+05:30,28.5,0,0
1/10/2020,takeaway,Deluxe Dessert 19,1,182.97,0.5,100.65,82.32,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,10:02:07,2020-01-10 10:02:07+05:30,28.5,0,0
1/10/2020,delivery,Herb Pizza 9,4,2246.99,0.001468924,662.18,1584.81,,4,0,1,2020,0,0,2,1,Duruthu Full Moon Poya Day,0,0,13:18:07,2020-01-10 13:18:07+05:30,30.8,0,0
